block,config,seed,n_train_steps,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
stdp_regression_bisect,stdp_only_n175000,3,175000,-0.0002791685692500323,-0.0001947356213349849,8.443294791504741e-05,0.2730252146720886,0.396728515625,11.364386118017137
stdp_regression_bisect,stdp_only_n175000,4,175000,-0.00026649280334822834,-0.0001772883115336299,8.920449181459844e-05,0.23150867223739624,0.4075927734375,11.372858711984009
stdp_regression_bisect,stdp_only_n175000,5,175000,-0.00027622285415418446,-0.00018475660181138664,9.146625234279782e-05,0.21436044573783875,0.40185546875,11.82129149400862
stdp_regression_bisect,stdp_only_n175000,6,175000,-0.0002665017091203481,-0.00018647187971509993,8.002982940524817e-05,0.2978169918060303,0.399169921875,12.05461660597939
stdp_regression_bisect,stdp_only_n175000,7,175000,-0.00025941283092834055,-0.00017674559785518795,8.26672330731526e-05,0.23202139139175415,0.3970947265625,12.248920015001204
stdp_regression_bisect,stdp_only_n175000,8,175000,-0.00026223217719234526,-0.0001853184512583539,7.691372593399137e-05,0.21405701339244843,0.404541015625,11.82985707494663
stdp_regression_bisect,stdp_only_n175000,9,175000,-0.00026219317805953324,-0.0001837066374719143,7.848654058761895e-05,0.23296460509300232,0.4058837890625,11.68682046502363
stdp_regression_bisect,stdp_only_n175000,10,175000,-0.0002691989648155868,-0.00017942735576070845,8.977160905487835e-05,0.21641939878463745,0.3985595703125,11.672259924001992
stdp_regression_bisect,stdp_only_n175000,11,175000,-0.00026426458498463035,-0.000186411794857122,7.785279012750834e-05,0.24248629808425903,0.4010009765625,11.174827744020149
stdp_regression_bisect,stdp_only_n175000,12,175000,-0.0002644306805450469,-0.00017741657211445272,8.70141084305942e-05,0.22672201693058014,0.39794921875,11.180934394011274
stdp_regression_bisect,stdp_only_n175000,13,175000,-0.0002580232103355229,-0.00018475372053217143,7.326948980335146e-05,0.2772049307823181,0.411865234375,11.502897305006627
stdp_regression_bisect,stdp_only_n175000,14,175000,-0.00026159570552408695,-0.00018145637295674533,8.013933256734163e-05,0.2560514211654663,0.4049072265625,11.057812491024379
stdp_regression_bisect,stdp_only_n175000,15,175000,-0.00027670228155329823,-0.00018458218255545944,9.21200989978388e-05,0.262276828289032,0.3956298828125,11.567477384000085
stdp_regression_bisect,stdp_only_n175000,16,175000,-0.00026537387748248875,-0.00018184370128437877,8.353017619810998e-05,0.21347130835056305,0.40087890625,12.043034928967245
stdp_regression_bisect,stdp_only_n175000,17,175000,-0.00024910378851927817,-0.0001841704943217337,6.493329419754446e-05,0.2953638434410095,0.4024658203125,12.278555672965012
stdp_regression_bisect,stdp_only_n175000,18,175000,-0.00025129641289822757,-0.00018982346227858216,6.147295061964542e-05,0.2583920359611511,0.400634765625,11.380622988042887
stdp_regression_bisect,stdp_only_n175000,19,175000,-0.0002593408862594515,-0.00018755040946416557,7.179047679528594e-05,0.27403050661087036,0.4013671875,11.174457198998425
stdp_regression_bisect,stdp_only_n200000,0,200000,-0.0002585904148872942,-0.00018858643306884915,7.000398181844503e-05,0.2473835051059723,0.4088134765625,13.565057389962021
stdp_regression_bisect,stdp_only_n200000,1,200000,-0.0002678088203538209,-0.0001901375944726169,7.767122588120401e-05,0.2086835503578186,0.401123046875,12.323959611996543
stdp_regression_bisect,stdp_only_n200000,2,200000,-0.0002715807349886745,-0.00019764585886150599,7.393487612716854e-05,0.25047364830970764,0.3956298828125,12.563759418961126
stdp_regression_bisect,stdp_only_n200000,3,200000,-0.0002791685692500323,-0.00019017986778635532,8.898870146367699e-05,0.23790553212165833,0.396728515625,12.811233362008352
stdp_regression_bisect,stdp_only_n200000,4,200000,-0.00026649280334822834,-0.0001884683151729405,7.802448817528784e-05,0.19771045446395874,0.4075927734375,12.717356742010452
stdp_regression_bisect,stdp_only_n200000,5,200000,-0.00027622285415418446,-0.00018118758453056216,9.50352696236223e-05,0.2610662877559662,0.40185546875,12.755337762995623
stdp_regression_bisect,stdp_only_n200000,6,200000,-0.0002665017091203481,-0.0001917148329084739,7.478687621187419e-05,0.25590991973876953,0.399169921875,12.08193340699654
stdp_regression_bisect,stdp_only_n200000,7,200000,-0.00025941283092834055,-0.00018397027452010661,7.544255640823394e-05,0.27718544006347656,0.3970947265625,11.981621905986685
