seed,t_steps,condition,fitness,wall_sec
9916,10000,gain=200,-3.668605e-05,0.45
9953,10000,open_loop,-1.570983e-04,0.39
9953,10000,gain=200,-3.668605e-05,0.45
9990,10000,open_loop,-1.561394e-04,0.39
9990,10000,gain=200,-3.668605e-05,0.45
10027,10000,open_loop,-1.564408e-04,0.38
10027,10000,gain=200,-3.668605e-05,0.45
10064,10000,open_loop,-1.562469e-04,0.39
10064,10000,gain=200,-3.668605e-05,0.45
10101,10000,open_loop,-1.557339e-04,0.39
10101,10000,gain=200,-3.668605e-05,0.45
10138,10000,open_loop,-1.562959e-04,0.39
10138,10000,gain=200,-3.668605e-05,0.45
10175,10000,open_loop,-1.571313e-04,0.39
10175,10000,gain=200,-3.668605e-05,0.45
10212,10000,open_loop,-1.563485e-04,0.39
10212,10000,gain=200,-3.668605e-05,0.45
10249,10000,open_loop,-1.569137e-04,0.39
10249,10000,gain=200,-3.668605e-05,0.44
10286,10000,open_loop,-1.564099e-04,0.39
10286,10000,gain=200,-3.668605e-05,0.45
10323,10000,open_loop,-1.558414e-04,0.39
10323,10000,gain=200,-3.668605e-05,0.45
10360,10000,open_loop,-1.571499e-04,0.39
10360,10000,gain=200,-3.668605e-05,0.45
10397,10000,open_loop,-1.566420e-04,0.39
10397,10000,gain=200,-3.668605e-05,0.45
10434,10000,open_loop,-1.568940e-04,0.39
10434,10000,gain=200,-3.668605e-05,0.45
10471,10000,open_loop,-1.573904e-04,0.39
10471,10000,gain=200,-3.668605e-05,0.45
10508,10000,open_loop,-1.576593e-04,0.39
10508,10000,gain=200,-3.668605e-05,0.45
10545,10000,open_loop,-1.575315e-04,0.39
10545,10000,gain=200,-3.668605e-05,0.45
10582,10000,open_loop,-1.563515e-04,0.39
10582,10000,gain=200,-3.668605e-05,0.45
10619,10000,open_loop,-1.572764e-04,0.39
10619,10000,gain=200,-3.668605e-05,0.45
10656,10000,open_loop,-1.577680e-04,0.39
10656,10000,gain=200,-3.668605e-05,0.45
10693,10000,open_loop,-1.569184e-04,0.39
10693,10000,gain=200,-3.668605e-05,0.45
10730,10000,open_loop,-1.574322e-04,0.39
