block,config,seed,plasticity_rate,init_v_mean,fit_before,fit_after,delta,v_mean,cross_e_frac_end,valence_mean,wall_sec
step16_multiseed,step16_rate3.0_ivm0.2,4,3.0,0.2,-0.00020037814101669937,-0.00019250951299909502,7.868628017604351e-06,0.19982555508613586,0.4075927734375,0.3107868432998657,1.4692206679610536
step16_multiseed,step16_rate3.0_ivm1.0,0,3.0,1.0,-0.0002585904148872942,-0.00018032698426395655,7.826343062333763e-05,0.584283709526062,0.4088134765625,0.30068591237068176,1.471934590023011
step16_multiseed,step16_rate3.0_ivm1.0,1,3.0,1.0,-0.0002678088203538209,-0.00017806724645197392,8.9741573901847e-05,0.6148926615715027,0.401123046875,0.30626624822616577,1.4740253639756702
step16_multiseed,step16_rate3.0_ivm1.0,2,3.0,1.0,-0.0002715807349886745,-0.0001842110650613904,8.736966992728412e-05,0.5832707285881042,0.3956298828125,0.2984386682510376,1.4778950920444913
step16_multiseed,step16_rate3.0_ivm1.0,3,3.0,1.0,-0.0002791685692500323,-0.00018440975691191852,9.475881233811378e-05,0.5851248502731323,0.396728515625,0.28646576404571533,1.4686242480529472
step16_multiseed,step16_rate3.0_ivm1.0,4,3.0,1.0,-0.00026649280334822834,-0.00017534538346808404,9.11474198801443e-05,0.5812114477157593,0.4075927734375,0.3058856725692749,1.4696818760130554
step16_multiseed,step16_rate3.0_ivm1.8,0,3.0,1.8,-0.00029757060110569,-0.00018762792751658708,0.00010994267358910292,1.2489538192749023,0.4088134765625,0.26542919874191284,1.4789519449695945
step16_multiseed,step16_rate3.0_ivm1.8,1,3.0,1.8,-0.00029898606589995325,-0.00019962468650192022,9.936137939803302e-05,1.2943637371063232,0.401123046875,0.24529579281806946,1.4876623630407266
step16_multiseed,step16_rate3.0_ivm1.8,2,3.0,1.8,-0.00032103469129651785,-0.00020070219761691988,0.00012033249367959797,1.2970287799835205,0.3956298828125,0.24297703802585602,1.484496038989164
step16_multiseed,step16_rate3.0_ivm1.8,3,3.0,1.8,-0.0003228065907023847,-0.0002170315128751099,0.0001057750778272748,1.3680846691131592,0.396728515625,0.22389626502990723,1.5245196580071934
step16_multiseed,step16_rate3.0_ivm1.8,4,3.0,1.8,-0.0003064005577471107,-0.00019303442968521267,0.00011336612806189805,1.266765832901001,0.4075927734375,0.253555029630661,1.4917051069787703
